CORRETORA,,,,Toro,Toro,Binance,Binance,Binance,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,MB,99 Bank,
ASSET,,,,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
DATA,TOTAL,DIFF,,R$0.00,R$17.10,R$918.04,-R$68.85,R$103.07,-R$0.12,R$0.06,R$0.00,R$0.00,-R$0.29,-R$0.29,-R$0.12,R$5.05,R$4.70,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$2.31,R$328.86,R$0.00
30-Nov/20,"R$187,138.30","R$12,413.66",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$6,876.76","R$180,261.54"
31-Dec/20,"R$200,898.74","R$13,760.44",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$5,804.70","R$195,094.04"
31-Jan/21,"R$202,780.05","R$1,881.31",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$2,792.84","R$199,987.21"
28-Feb/21,"R$210,021.05","R$7,241.00",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$4,672.60","R$205,348.45"
31-Mar/21,"R$218,224.26","R$8,203.21",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$5,648.03","R$212,576.23"
30-Apr/21,"R$227,686.32","R$9,462.06",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$2,228.94","R$225,457.38"
31-May/21,"R$230,359.18","R$2,672.86",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$2,103.52","R$228,255.66"
30-Jun/21,"R$237,262.16","R$6,902.98",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$2,281.12","R$234,981.04"
31-Jul/21,"R$240,270.26","R$3,008.10",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$2,158.51","R$238,111.75"
31-Aug/21,"R$247,822.72","R$7,552.46",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$14,455.36","R$233,367.36"
30-Sep/21,"R$258,005.57","R$10,182.85",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$14,322.11","R$243,683.46"
31-Oct/21,"R$258,260.40",R$254.83,,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,659.21","R$246,601.19"
30-Nov/21,"R$269,979.97","R$11,719.57",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,038.42","R$258,941.55"
31-Dec/21,"R$290,540.53","R$20,560.56",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$6,006.62",R$0.00,"R$7,018.37",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,563.66","R$268,951.88"
31-Jan/22,"R$289,443.87","-R$1,096.66",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$6,055.41",R$0.00,"R$16,380.49",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$11,880.23","R$255,127.74"
28-Feb/22,"R$319,842.92","R$30,399.05",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$6,111.52",R$0.00,"R$16,501.23",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$42,022.20","R$255,207.97"
31-Mar/22,"R$315,435.74","-R$4,407.18",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$10,000.00",R$0.00,R$0.00,R$0.00,"R$8,565.54",R$0.00,"R$16,666.69",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$14,752.15","R$265,451.36"
30-Apr/22,"R$309,626.80","-R$5,808.94",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,149.98",R$0.00,R$0.00,R$0.00,"R$8,644.60",R$92.51,"R$16,818.90",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$13,206.22","R$261,714.59"
31-May/22,"R$295,978.95","-R$13,647.85",,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,803.64",R$0.00,R$0.00,R$0.00,"R$8,742.33",R$93.28,"R$16,995.95",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,528.42","R$250,815.33"
