data,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
2024-10-31,31733.76,70204.52,6001.02,2023.64,0,138.273562,71.55783,133.85322,57.21705,191.474835,149.1111,115.93677,9238.56,0,34679.36,20137.75,20609.98,7991.94,11665.24,404.78,23747.16,21436.18,8010.55,12594.84,16349.2,0,1364.19,42178.01179
2024-11-30,31502.4,69416.71,8428.18,3439.54,479.67,152.169906,71.726865,136.735011,59.621065,461.291509,423.703,126.142436,9330.89,0,32905.36,20264.52,23432.32,8033.73,11667.64,464.67,23836.72,21131.67,10404.45,12624.83,14831.29,0,9100.9,24293.03151
2024-12-31,30429.81,62771.89,11951.38,1706.11,607.17,142.099515,72.44289,135.102894,56.96364,439.363032,428.775225,123.772083,9434.03,11089.63,31447.06,20411.2,26463.8,8099.46,11751.8,111.56,23977.64,21612.43,10434.48,12424.65,14703.09,0,8968.05,8161.519719
2025-01-01,30429.81,62018.59,11748.16,1649.38,602.72,142.099515,72.319056,134.483724,56.901723,437.13402,425.865126,123.462498,9438.96,11093.92,31447.06,20411.2,26463.8,8099.46,11751.8,111.56,23977.64,21612.43,10434.48,12424.65,14703.09,0,8970.87,8163.184383
2025-01-02,30429.81,60485.94,12093.24,1790.87,625.13,143.46688,73.50272,134.27904,57.05152,437.47776,429.5936,123.16672,9438.96,11093.92,31444.55,20420.88,26178.37,8103.58,11743.63,111.6,23987.84,21613.54,10439.59,12434.14,14702.17,0,11981.81,8167.97928
2025-01-03,30533.65,60949.32,12292.52,1867.4,675.1,143.858709,72.391032,133.57869,57.24801,437.47776,429.483189,122.990886,9443.91,11098.21,31229.52,20431.51,26078.84,8083.7,11753.9,111.66,23996.27,21537.78,10433.47,12421.12,14679.32,0,11985.39,8183.707583
2025-01-04,30277.56,61161.02,12093.24,1858.51,739.32,143.797152,72.329475,133.640247,57.186453,437.793384,428.559834,122.929329,9448.85,11102.5,31229.52,20431.51,26078.84,8083.7,11753.9,111.66,23996.27,21537.78,10433.47,12421.12,14679.32,0,11713.91,8186.54471
2025-01-05,30277.56,61161.02,12274.63,1834.51,747.82,143.797152,72.329475,133.640247,57.186453,437.793384,428.559834,122.929329,9448.85,11102.5,31229.52,20431.51,26078.84,8083.7,11753.9,111.66,23996.27,21537.78,10433.47,12421.12,14679.32,0,11713.91,8186.54471
2025-01-06,30277.56,61067.23,12492.12,1885.05,745.32,141.950442,71.898576,135.056058,57.309567,440.13255,432.807267,123.114,9448.85,11102.5,30684.28,20431.51,26506.73,8095.79,11753.9,111.73,24014.61,21540.05,10441.54,12421.12,14548.44,0,11445.76,8189.253218
2025-01-07,29887.45,61641.24,12023.03,1755.34,683.34,140.29785,71.6673,134.042145,56.787225,432.372465,424.29471,121.10559,9453.8,11106.8,31289.84,20449.31,26578.09,8102.04,10813.88,111.81,24024.87,21631.7,10452.43,12429.41,14761.23,0,10813.88,8199.04942
